chemical_id,cas_number,chemical_name,chemical_class,toxicity_score_ewg,melanin_interaction,chronic_skin_trigger,regulatory_status_eu,regulatory_status_fda,primary_health_concern,risk_weight_multiplier ,behavioral_intervention_framework
MCSI-001,68439-57-6,Sodium C14-16 Olefin Sulfonate,Surfactant,2,Violaceous/Dusky Erythema,"Contact Dermatitis, Atopic Dermatitis/Eczema",Allowed,Unregulated,"Dermal stripping, severe skin/eye irritation, and compromised lipid-barrier permeability",1.2,Health Belief Model (HBM) - Cue to Action
MCSI-002,13393-93-6,Hydroabietyl Alcohol,Fragrance,5,Post-Inflammatory Hyperpigmentation (PIH),"Contact Dermatitis, Atopic Dermatitis/Eczema",Banned,Unregulated ,Potent Skin Sensitization & Dermal Allergic Irritation,2.1,Transtheoretical Model (TTM) - Consciousness Raising
MCSI-003,70161-44-3,Sodium Hydroxymethylglycinate,Preservative,5,"Post-Inflammatory Hyperpigmentation (PIH), Violaceous/Dusky Erythema","Contact Dermatitis, Atopic Dermatitis/Eczema",Banned,Unregulated,Formaldehyde Contamination & Carcinogenic Release,2.4,Social Ecological Model (SEM) - Institutional Policy
MCSI-004,151-21-3,Sodium Lauryl Sulfate (SLS),Surfactant,1,Violaceous/Dusky Erythema,"Contact Dermatitis, Atopic Dermatitis/Eczema",Allowed,Unregulated,Severe Skin-Barrier Stripping & Protein Dermal Denaturation,1.2,Health Belief Model (HBM) - Cue to Action
MCSI-005,106-50-3,p-Phenylenediamine (PPD),Synthetic Dye,10,"Post-Inflammatory Hyperpigmentation (PIH), Demographic Exposure Over-Indexing","Contact Dermatitis, Alopecia (LPP Scalp Scarring)",Restricted,Unregulated,"Severe Dermal Sensitization, Bladder Cancer Risk, & Permanent Alopecia",1.9,Theory of Planned Behavior (TPB) - Subjective Norms
MCSI-006,9004-82-4,Sodium Laureth Sulfate (SLES),Surfactant,3,"Post-Inflammatory Hyperpigmentation (PIH), Violaceous/Dusky Erythema","Contact Dermititis, Atopic Dermatitis/Eczema",Allowed,Unregulated,Acute Dermal Lipid Stripping & Tridermal Moisture Loss,1.2,Self-Determination Theory (SDT) - Autonomy Support
MCSI-007,0301-04-2,Lead Acetate,Heavy Metal (Contaminant),10,Post-Inflammatory Hyperpigmentation (PIH),"Contact Dermatitis, Atopic Dermatitis/Eczema",Banned,Banned,"Neurotoxicity, Developmental Disruption, & Organ Bioaccumulation",2.3,Social Cognitive Theory (SCT) - Environmental Determinants
MCSI-008,10112-91-1,Mercurous Chloride,Heavy Metal (Contaminant),10,Chemical Leukoderma (Hypopigmentation) & Exogenous Ochronosis,"Contact Dermatitis, Atopic Dermatitis/Eczema",Banned,Banned,Irreversible Central Nervous System Damage & Kidney Toxicity,2.3,Health Belief Model (HBM) - Perceived Severity
MCSI-009,6358-53-8,Citrus Red 2,Synthetic Dye,10,Demographic Exposure Over-Indexing,Contact Dermatitis,Banned,Banned,"Cleaves into carcinogenic amines, forming DNA adducts that trigger bladder tumors",2.5,Health Belief Model (HBM) - Perceived Severity & Barriers
MCSI-010,81646-13-1,Behentrimonium Methosulfate,Surfactant,3,Demographic Exposure Over-Indexing,Contact Dermatitis,Restricted,Allowed,"Acute Lipid Barrier Disruption, Severe Skin Stripping, & Chronic Dermal Sensitization",1.5,Health Belief Model (HBM) - Perceived Susceptibility & Severity
